time_s,altitude_m,inertial_speed_m_s,relative_speed_m_s,flight_path_angle_deg,pitch_angle_deg,mass_kg,dynamic_pressure_Pa,mach_number,drag_force_N,thrust_force_N,axial_acceleration_g,density_kg_m3,temperature_K,stage_name
103.0,32274.623797331937,1069.8313214953141,860.8421752759883,50.630762472622436,67.91794684202421,1121697.8905669784,4812.351377367693,2.8378895230509826,113330.87493700917,27247285.875337556,2.4667010670882425,0.01298793939161749,228.96345722642357,S1_booster_core
107.0,35700.40440039616,1141.1365994000187,929.0144673017437,50.946351449647715,65.98141804961419,1086311.7895788068,3278.7237502441535,3.001062936872926,77213.9443182498,27353142.495972242,2.560379702675721,0.007597835174939113,238.4541134778785,S1_booster_core
111.0,39366.477111780085,1216.9632468430689,1001.0001119211722,51.1072421415424,63.97361171331437,1050925.9098530815,2196.1087567653926,3.1669358907005507,51718.361221825,27466424.142754003,2.6600562130356296,0.004383445257388831,248.5992300493286,S1_booster_core
115.0,43280.39582563937,1297.4542724008763,1077.0000090918759,51.12315236718355,61.89521048506595,1015540.1666732028,1448.7866321246242,3.3355786241356844,34118.9251865349,27587364.231012255,2.7666548188388727,0.0024980608427994065,259.41741105937194,S1_booster_core
119.0,47449.32728554774,1382.7876927973005,1157.246482283793,51.00337080143333,59.74686150098094,980154.506527359,944.0683681772623,3.508947650470337,22232.810070574527,27716184.213123426,2.8811754737698156,0.0014098785509588383,270.65,S1_booster_core
123.0,51880.01547314413,1473.1760668117984,1242.0024843107294,50.75652412321145,57.52917961392667,944768.8964298598,629.8934718903089,3.774952622820365,14833.991263016773,27853092.478120152,3.0046632173634547,0.0008166804774502743,269.35930894041496,S1_booster_core
127.0,56578.727819580585,1568.8701595615491,1331.5653966267844,50.39049085506447,55.24275021571093,909383.3168982051,417.19829557187796,4.147994314236909,9825.019860717726,27998282.68962504,3.1384217778980745,0.0004705952290102493,256.42405717342075,S1_booster_core
131.0,61551.19519316871,1670.1625899812625,1426.2709082129313,49.91235673394714,52.888131714608356,873997.7559687151,259.15216683449773,4.566382540730338,6103.033528952421,28151931.93146891,3.2838480258019587,0.0002547890691772595,242.75575637977096,S1_booster_core
135.0,66802.52852169983,1777.3878317824554,1526.493175333498,49.32836600647343,50.465857721411844,838612.2057734595,149.55852991569753,5.039126471898407,3522.103379514677,28314198.131320525,3.442455898841947,0.0001283664258888399,228.34383364690723,S1_booster_core
139.0,72337.10861177463,1890.9266390997618,1632.6495818385397,48.64393431212159,47.9764389873946,803226.6613434757,79.0886342180468,5.572465686463697,1862.5373358350023,28485216.656103835,3.6160326085689016,5.934144378939632e-05,213.59998998278115,S1_booster_core
143.0,78158.45933832973,2011.213534428037,1745.2086007935277,47.86367799952417,45.42036512984875,767841.1197573593,37.48934792547818,6.121844017510629,882.8741436450111,28665096.39355439,3.806694185281566,2.461745728131102e-05,202.22751291613105,S1_booster_core
147.0,84269.10203861725,2138.7458276450325,1864.6991515461284,46.991434875865515,42.7981061747295,732455.5794363079,16.117264179430194,6.742652585053124,379.56157142558106,28853915.252993274,4.016955972800895,9.27051313893982e-06,190.31194635682016,S1_booster_core
151.0,90670.3866355475,2274.0953467253335,1991.722649338772,46.030277418041386,40.11011394101661,697070.0396238185,6.013560832433231,7.26798637955301,141.61935760380257,29051714.94703842,4.249839851206398,3.0318239552358717e-06,186.87,S1_booster_core
155.0,97362.29456766229,2417.92310284141,2126.9679637791805,44.982512156771115,37.356823287432334,661684.4999915303,1.9845148210720727,7.456747120498844,46.73532403624731,29258494.902140766,4.508993933311006,8.773289191039023e-07,202.4571588154672,S1_booster_core
159.0,104343.20554763172,2570.998224453393,2271.230630642449,43.84966343250683,34.53865323892501,626298.9604156204,0.6836753481650496,7.478397614466016,16.100554449286918,29340000.0,4.777024897330457,2.6506808646935363e-07,229.51730714160863,S1_booster_core
160.5,107034.90814512502,2630.964716612316,2327.838332789036,43.403081021690106,33.4651957039824,614000.0000000008,0.4702119518570241,7.49653397557454,11.073491466232916,29340000.0,4.872713745432181,1.7354736677056616e-07,239.93559131701105,S1_booster_core
160.5,107034.90814512502,2630.964716612316,2327.838332789036,43.403081021690106,33.4651957039824,354000.0000000008,0.4702119518570241,7.49653397557454,11.073491466232916,5590000.0,1.610226649358142,1.7354736677056616e-07,239.93559131701105,S2_upper_stage
164.5,114265.3770250259,2667.5962359852356,2359.2929933699183,42.64360284110497,30.558473628516445,347293.8663170048,0.16884581344461955,7.1906481007239,3.9763189066207905,5590000.0,1.6413216957384136,6.066756114277798e-08,267.8784366357184,S2_upper_stage
168.5,121489.27568545938,2705.3820559379983,2391.677299520797,41.83578588012183,27.587809666145162,340587.73263400875,0.06751946658032852,6.937566849828808,1.5900834379667368,5590000.0,1.6736398475156278,2.360770857242306e-08,295.73373748247366,S2_upper_stage
172.5,128698.30839785002,2744.281853952991,2424.9627010159425,40.979077741430686,24.553576419289243,333881.5989510127,0.04106562278055235,6.205378836063586,0.9670954164820077,5590000.0,1.7072557045050218,1.3966844025043775e-08,380.0,S2_upper_stage
176.5,135883.24854398146,2784.2513387064673,2459.1185264914807,40.07299634508794,21.45613449775078,327175.4652680167,0.026667303315202284,6.292782174863556,0.6280149930730138,5590000.0,1.74224952518369,8.819626077395459e-09,380.0,S2_upper_stage
180.5,143033.89677515812,2825.2421161739994,2494.1118678933553,39.11712222236693,18.295833204587268,320469.33158502064,0.017377770937717966,6.38232868213452,0.40924650558325815,5590000.0,1.778707867313991,5.5871741222761574e-09,380.0,S2_upper_stage
184.5,150139.0407507373,2867.201540332435,2529.907446667629,38.111090141903794,15.073011166468106,313763.1979020246,0.011371187151257303,6.473928081522175,0.26779145741210947,5590000.0,1.8167246495413625,3.553256312797002e-09,380.0,S2_upper_stage
188.5,157186.41691629868,2910.0725506812196,2566.4674645750865,37.05458013184361,11.787996914261385,307057.0642190286,0.007476928547221504,6.567483648902241,0.17608166728706642,5590000.0,1.8564019901288566,2.2702919015981276e-09,380.0,S2_upper_stage
192.5,164162.67479201127,2953.7934881600004,2603.7514313090433,35.94730792052684,8.441109418880728,300350.93053603254,0.004944044919470495,6.6628917712615925,0.11643225785353016,5590000.0,1.8978511242317972,1.4585232623778244e-09,380.0,S2_upper_stage
196.5,171053.3442643406,2998.297888833272,2641.715968985385,34.789014821479384,5.032658586806818,293644.7968530365,0.00329038884514045,6.760041446396395,0.07748865730305758,5590000.0,1.9411934461699403,9.429854177451292e-10,380.0,S2_upper_stage
200.5,177842.807604515,3043.630886703988,2680.424067607289,33.57810814128925,2.0,282938.66317004047,0.0022062025725877303,6.859093863108615,0.051956070584441044,5590000.0,2.014646394982243,6.141413858743102e-10,380.0,S2_upper_stage
204.5,184518.20957203768,3091.881181535202,2722.1521765905195,32.349691679020964,2.0,276232.52948704443,0.001493933914227323,6.965874360905555,0.03518214368005346,5590000.0,2.063556238382186,4.0321490929272687e-10,380.0,S2_upper_stage
208.5,191078.73844719678,3143.3939746430374,2767.462815634527,31.14789097269285,2.0,269526.3958040484,0.001021986480343871,7.081822404335008,0.02406778161209816,5590000.0,2.1148999484816664,2.6687725237479094e-10,380.0,S2_upper_stage
212.5,197526.13852648064,3198.2362222912466,2816.421985382774,29.973944704336482,2.0,262820.26212105236,0.0007061408332991123,7.207106886302395,0.016629616624194092,5590000.0,2.1688638340082274,1.7804339613471632e-10,380.0,S2_upper_stage
216.5,203862.22261583526,3256.4805148595474,2869.099148379777,28.828927704070555,2.0,256114.12843805633,0.0004926882013960293,7.341905558574148,0.01160280714287649,5590000.0,2.2256537167545214,1.1970465649157088e-10,380.0,S2_upper_stage
220.5,210088.87726582494,3318.2061853880396,2925.5685573868764,27.713754287074227,2.0,249407.9947550603,0.000347046742144115,7.486408430882602,0.008172950777493908,5590000.0,2.2854975550445444,8.109562178237554e-11,380.0,S2_upper_stage
224.5,216208.06849103048,3383.5005201177764,2985.910700282304,26.629183403240837,2.0,242701.86107206426,0.0002467388622994725,7.640821468365256,0.005810700207152577,5590000.0,2.348648502093199,5.534952820075942e-11,380.0,S2_upper_stage
228.5,222221.84803364612,3452.460085517024,3050.21386799575,25.575825301201174,2.0,235995.72738906823,0.00017701847923059532,7.805370603844204,0.00416878518588052,5590000.0,2.415388485783106,3.805292266343705e-11,380.0,S2_upper_stage
232.5,228132.36024061777,3525.1921907289657,3118.575857256937,24.554149405860763,2.0,229289.5937060722,0.00012812327328031204,7.980306095089018,0.0030173030857513486,5590000.0,2.4860324166202528,2.6347862978485548e-11,380.0,S2_upper_stage
236.5,233941.84963468835,3601.8165096952,3191.105826325528,23.564493116466345,2.0,222583.46002307616,9.353243606403789e-05,8.165907273552515,0.002202688869308092,5590000.0,2.56093315635831,1.8370028395462876e-11,380.0,S2_upper_stage
240.5,239652.66927292105,3682.4668936159237,3267.9263294373563,22.607071248328655,2.0,215877.32634008012,6.885214029700841e-05,8.36248775043415,0.0016214679039945482,5590000.0,2.6404874127046623,1.2894453067991888e-11,380.0,S2_upper_stage
244.5,245267.29000221938,3767.2934122004854,3349.1755646658225,21.681985863458763,2.0,209171.1926570841,5.109633257238241e-05,8.570401168863988,0.0012033186320796058,5590000.0,2.725142767945356,9.110535350323706e-12,380.0,S2_upper_stage
248.5,250788.31074043922,3856.4646717490627,3435.009880599994,20.789236261385447,2.0,202465.05897408805,3.821864229801949e-05,8.790047618387833,0.000900049026118359,5590000.0,2.8154061043976735,6.478124187151097e-12,380.0,S2_upper_stage
