time_s,x_km,y_km,z_km,vx_m_s,vy_m_s,vz_m_s,altitude_km,speed_m_s,inertial_speed_m_s,flight_path_angle_deg,pitch_deg,mass_t,dynamic_pressure_kpa,stage
90.0,-2191.170567817479,5603.517729448935,2144.013517526976,-673.2019317218306,185.59848250863843,146.8754858241321,16.286854749559424,450.1150999798513,713.59655682997,38.3815512670371,77.12743343093749,1389.7531189315944,17.059851151120558,booster_core_cluster
95.0,-2194.64124473986,5604.5341137088635,2144.790674108481,-708.539859414578,215.2530073150742,161.25710057381866,18.630651343036444,496.92649803887645,757.8696735078453,39.915761246562354,75.98717621662,1345.8384551366269,14.599306317155557,booster_core_cluster
100.0,-2198.29898930448,5605.703102148289,2145.6425332985764,-747.3714224417923,246.3566535508511,176.5765718481623,21.198964089899324,547.3211179465832,806.4954615849313,41.30481204726019,74.81975860127255,1301.9237913416596,11.988130893830366,booster_core_cluster
105.0,-2202.162061723313,5607.0320558910325,2146.5739290040265,-789.9625923885571,278.94690947411806,192.8820586044491,24.006321698429062,601.5511552316301,859.6835256127115,42.550140072732596,73.6260970470246,1258.0091275466923,9.378163832384953,booster_core_cluster
110.0,-2206.2500844095944,5608.528484774572,2147.589928164794,-836.5896533655382,313.04759874979413,210.21882960660903,27.067966116018592,659.8719877701296,917.6453582525528,43.6547550959207,72.40702989884613,1214.094463751725,7.024487277632432,booster_core_cluster
115.0,-2210.584107895398,5610.1999911978655,2148.6958222392773,-887.5457263984686,348.67487266034885,228.63210051831385,30.39982939862553,722.5477128738505,980.6040080788534,44.623194757163226,71.1633276626477,1170.1797999567575,5.026751804760605,booster_core_cluster
120.0,-2215.1867122717053,5612.054243605636,2149.8971331799667,-943.1456058093229,385.83993599048176,248.16859809170987,34.01855474694073,789.8599705140325,1048.8010979405858,45.461204487912234,69.8957015003022,1126.2651361617902,3.484155209824225,booster_core_cluster
125.0,-2220.0821422846866,5614.098969193679,2151.1996303287806,-1003.7366119710127,424.5567022649211,268.8805296199897,37.94155098324921,862.1185766422586,1122.5116119033416,46.175534764042546,68.60481031883623,1082.350472366823,2.302818985432397,booster_core_cluster
130.0,-2225.29650161778,5616.341984600947,2152.609367756524,-1069.7067647456224,464.8448065237655,290.8277059149914,42.187109250499866,939.6758089607054,1202.054079990763,46.77354809682852,67.29126673810975,1038.4358085718554,1.4781630635544354,booster_core_cluster
135.0,-2230.857960535021,5618.79120973916,2154.132718267892,-1141.4880778114234,506.7264650968374,314.07703823978136,46.774510423121974,1022.9246502549438,1287.7931232013268,47.26274700548864,65.95564215422542,994.5211447768881,0.9490210196854001,booster_core_cluster
