time_s,downrange_km,altitude_km,horizontal_velocity_m_s,vertical_velocity_m_s,speed_m_s,flight_path_angle_deg,pitch_deg,mass_t,dynamic_pressure_kpa,stage
255.67720270270297,208.66506521884992,208.10411804968152,1488.1339234865102,1302.768031616008,1977.8137218737268,41.200114694329,47.72801386787825,389.3333032417126,0.0,second_stage
260.67720270270297,216.21618937749665,214.5991105057796,1525.1402658363404,1296.483372819094,2001.729743614686,40.367026012374076,46.562469376811514,383.0350560439079,0.0,second_stage
265.67720270270297,223.95661920700354,221.06260364895635,1563.5761737157982,1290.169834573615,2027.1429779508512,39.52741669127332,45.38875919902455,376.73680884610314,0.0,second_stage
270.67720270270297,231.89361427272982,227.4943720672298,1603.479041011922,1283.8002444876565,2054.090578020132,38.68195995446833,44.20698750083086,370.4385616482984,0.0,second_stage
275.67720270270297,240.03462452049442,233.89405064701245,1644.887408647584,1277.3461415131667,2082.6108019421054,37.83131803877409,43.01725514010382,364.1403144504937,0.0,second_stage
280.67720270270297,248.38729624501292,240.26112792658137,1687.8410432773028,1270.777707476125,2112.7430911470733,36.976138029953745,41.81965983186558,357.84206725268893,0.0,second_stage
285.67720270270297,256.95947847388413,246.59493909036115,1732.3810234449982,1264.0636929152822,2144.52816025786,36.11704792027914,40.61429630267151,351.5438200548842,0.0,second_stage
290.67720270270297,265.7592298069044,252.89465857371118,1778.5498340393972,1257.1713366024708,2178.0080995571184,35.25465292272018,39.40125643473859,345.2455728570794,0.0,second_stage
295.67720270270297,274.7948257549775,259.1592922445352,1826.3914699890336,1250.0662780360394,2213.226491150777,34.38953207007011,38.18062940067022,338.9473256592747,0.0,second_stage
300.67720270270297,284.07476662795887,265.38766912421255,1875.9515502610204,1242.7124621053595,2250.228540037365,33.522235120604726,36.952501789545366,332.64907846146997,0.0,second_stage
305.67720270270297,293.60778602650674,271.57843260602255,1927.2774433687032,1235.0720350164815,2289.0612214175394,32.65327978498397,35.716957725065335,326.3508312636652,0.0,second_stage
310.67720270270297,303.40285999952016,277.7300311243188,1980.4184057562366,1227.1052304443906,2329.7734457328793,31.783149282216346,34.47407897638433,320.0525840658605,0.0,second_stage
315.67720270270297,313.4692169361366,283.8407082221102,2035.4257346169447,1218.77024473293,2372.4162431131886,30.912290225789448,33.22394506219181,313.75433686805576,0.0,second_stage
320.67720270270297,323.8163482696932,289.90849195832095,2092.3529369217576,1210.0230997957594,2417.0429691431727,30.041110834667624,31.96663334856123,307.456089670251,0.0,second_stage
325.67720270270297,334.4540200806867,295.93118358869157,2151.2559166897427,1200.8174921763061,2463.7095341393674,29.169979457889404,30.702219141033304,301.15784247244625,0.0,second_stage
330.67720270270297,345.39228569680745,301.9063454459045,2212.1931828316533,1191.1046264963559,2512.47465846481,28.299223396052778,29.430775771359635,294.85959527464155,0.0,second_stage
335.67720270270297,356.6414994008042,307.83128793487845,2275.2260802478613,1180.8330312553028,2563.4001568119706,27.429127998112737,28.152374679295086,288.5613480768368,0.0,second_stage
